Dates,Volatility
2018-01-25,0.00044621956654498793
2018-01-26,0.0004410335771321627
2018-01-29,0.0004194377787936951
2018-01-30,0.0006274218216177573
2018-01-31,0.0005158253455756453
2018-02-01,0.0003887821498550856
2018-02-02,0.00040662448438916123
2018-02-05,0.000366253068365124
2018-02-06,0.0028889456814134317
2018-02-07,0.0015489582026026536
2018-02-08,0.0002530317387107535
2018-02-09,0.0002948196458322712
2018-02-12,0.0001846488961566454
2018-02-13,0.00014314640717176647
2018-02-14,0.00017228156941989347
2018-02-15,0.00014604204197755471
2018-02-16,0.0001579012286931571
2018-02-19,0.0001494314471480697
2018-02-20,0.0001800701923984935
2018-02-21,0.00016695178220162566
2018-02-22,0.0001096892949055826
2018-02-23,0.00012120155312345975
2018-02-26,0.00011228142756721807
2018-02-27,0.00011178885643141641
2018-02-28,9.248911434057756e-05
2018-03-01,0.00010221058381756183
2018-03-02,5.531580900329551e-05
2018-03-05,5.208905459866311e-05
2018-03-06,4.659935315697655e-05
2018-03-07,5.602148920157554e-05
2018-03-08,9.40401668332816e-05
2018-03-09,8.433159629807449e-05
2018-03-12,7.898233096775418e-05
2018-03-13,0.00011171489419740322
2018-03-14,0.00010185547410162327
2018-03-15,0.00010840078302801856
2018-03-16,9.729203481873423e-05
2018-03-19,0.000105250358438933
2018-03-20,0.00010913579933754923
2018-03-21,0.00012533215624992836
2018-03-22,0.00019836874019540324
2018-03-23,0.00015290968994984106
2018-03-26,0.0001483393350425341
2018-03-27,0.00012854804367184717
2018-03-28,0.00012736173925869223
2018-03-29,0.00013058931780520052
2018-03-30,0.0001441610452038841
2018-04-02,0.0001755511238043557
2018-04-03,0.00017526721836566583
2018-04-04,0.00016736766470325156
2018-04-05,0.00015637722446516127
2018-04-06,0.0001368414946623972
2018-04-09,0.00012348361914128655
2018-04-10,0.00011840614109301797
2018-04-11,0.00014199929748343802
2018-04-12,0.00017023676364109306
2018-04-13,0.00014360474110440276
2018-04-16,0.00012989156159986859
2018-04-17,0.00012857484818454618
2018-04-18,0.00013204362527333824
2018-04-19,0.00010035452122455536
2018-04-20,9.98669649824949e-05
2018-04-23,8.847912725953008e-05
2018-04-24,8.885907031700509e-05
2018-04-25,7.428078159244341e-05
2018-04-26,9.280507740485369e-05
2018-04-27,9.953701116743901e-05
2018-04-30,0.00010019107141254434
2018-05-01,8.865595209807713e-05
2018-05-02,0.0001588734267322119
2018-05-03,8.59658187081185e-05
2018-05-04,9.756575555768778e-05
2018-05-07,9.755706049645594e-05
2018-05-08,0.0001050375197916174
2018-05-09,0.00011495914347640805
2018-05-10,0.00011755728027564731
2018-05-11,0.00013201692992177914
2018-05-14,0.00010979575530525672
2018-05-15,0.00011082067508077467
2018-05-16,0.0001126812611725343
2018-05-17,6.312974062569437e-05
2018-05-18,6.056503029492479e-05
2018-05-21,6.99533369469338e-05
2018-05-22,8.842960003931403e-05
2018-05-23,8.826539812271564e-05
2018-05-24,9.535262360441267e-05
2018-05-25,8.799586970665241e-05
2018-05-28,9.138645236830659e-05
2018-05-29,0.00010015042340565203
2018-05-30,7.620895362663843e-05
2018-05-31,6.108462348585791e-05
2018-06-01,6.602989878031051e-05
2018-06-04,5.42443923567997e-05
2018-06-05,7.808113968596799e-05
2018-06-06,6.947214723801695e-05
2018-06-07,7.521224543544781e-05
2018-06-08,6.7095384067257e-05
2018-06-11,0.00010949782192848118
2018-06-12,0.00013228555857673722
2018-06-13,0.00011986035871044105
2018-06-14,8.70411333738381e-05
2018-06-15,5.3127060318991455e-05
2018-06-18,6.960632312064916e-05
2018-06-19,7.102035623930656e-05
2018-06-20,8.001517446614387e-05
2018-06-21,8.252169387531267e-05
2018-06-22,7.291895482957128e-05
2018-06-25,6.86720450101915e-05
2018-06-26,5.2044713676782864e-05
2018-06-27,5.766377667865347e-05
2018-06-28,2.5329505381918813e-05
2018-06-29,2.4810704164816322e-05
2018-07-02,2.9420755176023412e-05
2018-07-03,1.4072497641235211e-05
2018-07-04,1.782106688837964e-05
2018-07-05,1.65997830966057e-05
2018-07-06,1.2282275242431052e-05
2018-07-09,1.2284523477755075e-05
2018-07-10,1.8554780507407e-05
2018-07-11,1.9946082697101217e-05
2018-07-12,2.107677653170801e-05
2018-07-13,2.255840663803581e-05
2018-07-16,2.597832710199005e-05
2018-07-17,2.751193387116972e-05
2018-07-18,2.9959623104240384e-05
2018-07-19,3.168865750816033e-05
2018-07-20,2.9503921116685078e-05
2018-07-23,3.5663767565095305e-05
2018-07-24,3.517258763504279e-05
2018-07-25,3.3541113422660386e-05
2018-07-26,5.099235366624352e-05
2018-07-27,3.7522592970848724e-05
2018-07-30,4.233112062823696e-05
2018-07-31,4.159909869606774e-05
2018-08-01,2.9277879476482198e-05
2018-08-02,3.686316220675153e-05
2018-08-03,3.3102452800969296e-05
2018-08-06,3.57579317880776e-05
2018-08-07,3.6301751076255596e-05
2018-08-08,3.725148100535071e-05
2018-08-09,3.0311446466211242e-05
2018-08-10,2.647316176533189e-05
2018-08-13,2.0601323921235847e-05
2018-08-14,2.217277973818474e-05
2018-08-15,2.354104685114901e-05
2018-08-16,1.6716174383685518e-05
2018-08-17,1.5171443414252963e-05
2018-08-20,1.3566918697062587e-05
2018-08-21,1.4197592579566505e-05
2018-08-22,1.4091766807926957e-05
2018-08-23,1.2695671213866927e-05
2018-08-24,9.703645924382915e-06
2018-08-27,1.095914491639179e-05
2018-08-28,1.307448537135805e-05
2018-08-29,1.1483565033836822e-05
2018-08-30,1.281749100252745e-05
2018-08-31,1.0988725847506043e-05
2018-09-03,1.1964382174999801e-05
2018-09-04,1.020347856865529e-05
2018-09-05,7.474637290052622e-06
2018-09-06,8.289637438408628e-06
2018-09-07,1.1717208394173098e-05
2018-09-10,1.202798550262899e-05
2018-09-11,1.006477936078569e-05
2018-09-12,9.126255227713449e-06
2018-09-13,1.0263221620039238e-05
2018-09-14,7.429066372951963e-06
2018-09-17,8.300365514641463e-06
2018-09-18,9.166024400539418e-06
2018-09-19,9.947924437330975e-06
2018-09-20,2.243716463020933e-05
2018-09-21,2.588659981456853e-05
2018-09-24,2.428176188987228e-05
2018-09-25,1.7989901112941298e-05
2018-09-26,2.6164663897020664e-05
2018-09-27,3.017246026826784e-05
2018-09-28,2.8718078238165297e-05
2018-10-01,2.7043104849229595e-05
2018-10-02,2.3776805906326446e-05
2018-10-03,1.6622404219664022e-05
2018-10-04,6.99551518775724e-05
2018-10-05,6.583220504395182e-05
2018-10-08,7.323904096087931e-05
2018-10-09,8.607622978528354e-05
2018-10-10,8.986795576429292e-05
2018-10-11,4.021105171494526e-05
2018-10-12,5.1448654740115016e-05
2018-10-15,4.242282291540138e-05
2018-10-16,4.4911198987553144e-05
2018-10-17,3.0240373930834618e-05
2018-10-18,6.885167413701441e-05
2018-10-19,7.027076255831714e-05
2018-10-22,5.3349975018563704e-05
2018-10-23,6.232011006413366e-05
2018-10-24,6.687886439746624e-05
2018-10-25,5.095329284104286e-05
2018-10-26,8.823490214454164e-05
2018-10-29,7.612189642084787e-05
2018-10-30,6.866298578483835e-05
2018-10-31,7.700615038741894e-05
2018-11-01,0.00011466916858424792
2018-11-02,8.101029496959982e-05
2018-11-05,0.00010292532219729221
2018-11-06,8.958859981583541e-05
2018-11-07,7.009465728472614e-05
2018-11-08,7.609737380147647e-05
2018-11-09,6.309299275679985e-05
2018-11-12,7.414499129623175e-05
2018-11-13,7.457760494155848e-05
2018-11-14,8.10908316179374e-05
2018-11-15,9.996767357241822e-05
2018-11-16,0.00011865821159813347
2018-11-19,0.00010167551290981044
2018-11-20,6.643716098524576e-05
2018-11-21,6.96111822105601e-05
2018-11-22,7.707249793457429e-05
2018-11-23,7.645347588541408e-05
2018-11-26,9.866752917998282e-05
2018-11-27,6.490332231697678e-05
2018-11-28,8.121925487286202e-05
2018-11-29,0.00016946379328284343
2018-11-30,0.00024875453021970555
2018-12-03,0.00014477031706743157
2018-12-04,0.0001723387018368352
2018-12-05,0.00012388133960976653
2018-12-06,0.00012258545836095459
2018-12-07,7.97718854577196e-05
2018-12-10,7.652812996531317e-05
2018-12-11,6.899674017517799e-05
2018-12-12,6.897626433095137e-05
2018-12-13,0.00014545333851219842
2018-12-14,0.00011152662871881047
2018-12-17,7.564040045840098e-05
2018-12-18,0.00010502139212176789
2018-12-19,8.431195448592563e-05
2018-12-20,7.458182916550016e-05
2018-12-21,0.00017237090829410668
2018-12-24,0.00014239278146516415
2018-12-25,0.00020880642857448975
2018-12-26,0.0002755410956605561
2018-12-27,0.00031120029286729625
2018-12-28,0.00025611350251896224
2018-12-31,0.00026240576473027786
2019-01-01,0.00022126601139801414
2019-01-02,0.00023874312950008795
2019-01-03,0.000182034983230575
2019-01-04,6.05752538464492e-05
2019-01-07,5.9707335708112746e-05
2019-01-08,5.5140533431568554e-05
2019-01-09,5.218645062176912e-05
2019-01-10,5.448393944331251e-05
2019-01-11,5.491004120564847e-05
2019-01-14,5.4080680631584e-05
2019-01-15,7.784624183256538e-05
2019-01-16,7.864744062332149e-05
2019-01-17,6.34435898516673e-05
2019-01-18,5.4464380677197046e-05
2019-01-21,6.841702316420214e-05
2019-01-22,5.929230853506174e-05
2019-01-23,5.55173768451718e-05
2019-01-24,5.495097392286589e-05
2019-01-25,3.451971551940722e-05
2019-01-28,7.510649913756378e-05
2019-01-29,7.559767465412564e-05
2019-01-30,7.119189976817413e-05
2019-01-31,6.836989991334886e-05
2019-02-01,7.77956554475516e-05
2019-02-04,0.00013612287370003682
2019-02-05,0.0001421803288724558
2019-02-06,0.00020184250731516225
2019-02-07,6.270898593453965e-05
2019-02-08,4.9156935131328304e-05
2019-02-11,4.616596184301053e-05
2019-02-12,4.912665398241506e-05
2019-02-13,5.0148384214210166e-05
2019-02-14,3.941743787675263e-05
2019-02-15,4.8143944128258697e-05
2019-02-18,5.885917757934709e-05
2019-02-19,4.2191165420510924e-05
2019-02-20,5.082359360030188e-05
2019-02-21,3.6397987055651356e-05
2019-02-22,3.309937957439161e-05
2019-02-25,3.0283678695117113e-05
2019-02-26,3.4648121353036985e-05
2019-02-27,4.548138480301202e-05
2019-02-28,5.335775936786397e-05
2019-03-01,3.9521974715923144e-05
2019-03-04,5.996601502252518e-05
2019-03-05,5.6921413246001904e-05
2019-03-06,5.5347260371009974e-05
2019-03-07,4.1209133567854075e-05
2019-03-08,2.869531154465143e-05
2019-03-11,3.426155399120166e-05
2019-03-12,3.5467844334843955e-05
2019-03-13,4.114186410887431e-05
